rute_100m sum
22536006661600 9
22536006661700 7
22536006662000 7
22538006662300 16
22538006662700 12
22539006662300 5
22541006661600 9
22542006661200 11
22542006661500 6
22543006661200 18
22544006660400 6
22545006661600 11
22545006662100 6
22546006661000 5
22546006661400 11
22546006661600 6
22546006662100 11
22549006663600 5
22551006661400 15
22552006657300 20
22554006661300 19
22554006661400 6
22554006662200 6
22556006650800 19
22556006650900 66
22556006651000 47
22556006651300 22
22556006660700 10
22557006650800 22
22557006650900 27
22557006651000 26
22557006651100 18
22557006651200 20
22557006651300 52
22557006651400 22
22557006651500 46
22557006651600 10
22557006660900 6
22558006650700 13
22558006650800 31
22558006650900 10
22558006651000 56
22558006651100 97
22558006651200 58
22558006651300 49
22558006651400 68
22558006651500 70
22558006651600 30
22558006658900 7
22558006660200 8
22559006650600 5
22559006650700 43
22559006650800 34
22559006650900 50
22559006651000 49
22559006651100 43
22559006651500 56
22559006651600 46
22559006651700 13
22559006655200 13
22559006656300 11
22559006662100 10
22560006650400 7
22560006650500 28
22560006650700 38
22560006650800 39
22560006650900 36
22560006651000 39
22560006651100 41
22560006651200 36
22560006651300 6
22560006651400 9
22560006651500 15
22560006651600 52
22560006651700 36
22560006652600 9
22560006655100 37
22560006655200 12
22560006659100 6
22560006659700 11
22561006650300 24
22561006650400 23
22561006650500 64
22561006650600 53
22561006650700 44
22561006650800 41
22561006650900 55
22561006651000 29
22561006651100 64
22561006651200 33
22561006651300 28
22561006651400 32
22561006651500 36
22561006651600 50
22561006651700 60
22561006651800 19
22561006652400 8
22561006652500 70
22561006652600 90
22561006652700 38
22561006652800 32
22561006654400 12
22561006654500 30
22561006654800 11
22561006654900 68
22561006655000 24
22561006655100 25
22561006658000 13
22561006658300 25
22561006658400 10
22561006658500 5
22561006661500 9
22561006661800 20
22562006650000 34
22562006650100 17
22562006650200 19
22562006650300 76
22562006650400 46
22562006650500 64
22562006650600 101
22562006650700 95
22562006650800 47
22562006650900 42
22562006651200 30
22562006651300 12
22562006651400 31
22562006651500 39
22562006651600 42
22562006651700 51
22562006651800 32
22562006651900 13
22562006652100 14
22562006652200 60
22562006652300 78
22562006652400 108
22562006652500 104
22562006652600 108
22562006652700 49
22562006652800 41
22562006652900 14
22562006654000 26
22562006654100 8
22562006654300 39
22562006654400 47
22562006654500 62
22562006654600 68
22562006654800 92
22562006654900 44
22562006655000 65
22562006655100 26
22562006657800 6
22562006658400 16
22562006658800 6
22562006661100 14
22562006661200 6
22562006661500 16
22563006649800 8
22563006649900 44
22563006650000 73
22563006650100 44
22563006650200 108
22563006650300 42
22563006650400 37
22563006650500 66
22563006650600 81
22563006650700 54
22563006650800 50
22563006650900 41
22563006651000 13
22563006651100 9
22563006651200 17
22563006651300 19
22563006651400 35
22563006651500 24
22563006651600 30
22563006651700 44
22563006651800 43
22563006651900 30
22563006652000 7
22563006652100 146
22563006652200 136
22563006652300 84
22563006652500 31
22563006652600 119
22563006652700 48
22563006652800 44
22563006652900 34
22563006653000 21
22563006653100 31
22563006653200 51
22563006653300 30
22563006653500 33
22563006653600 30
22563006653700 28
22563006653800 31
22563006653900 27
22563006654000 24
22563006654100 25
22563006654200 66
22563006654300 58
22563006654400 23
22563006654500 34
22563006654600 48
22563006654700 37
22563006654800 52
22563006654900 69
22563006655000 50
22563006655100 13
22563006661100 9
22563006661300 5
22564006649800 8
22564006649900 44
22564006650000 50
22564006650100 27
22564006650200 98
22564006650300 33
22564006650400 53
22564006650500 36
22564006650600 9
22564006650700 95
22564006650800 8
22564006650900 121
22564006651000 57
22564006651100 37
22564006651200 40
22564006651300 43
22564006651400 39
22564006651500 22
22564006651600 54
22564006651700 57
22564006651800 49
22564006651900 19
22564006652000 32
22564006652100 16
22564006652200 19
22564006652300 20
22564006652400 5
22564006652500 11
22564006652600 73
22564006652700 54
22564006652800 41
22564006652900 25
22564006653000 24
22564006653100 36
22564006653200 43
22564006653300 25
22564006653400 62
22564006653500 41
22564006653600 42
22564006653700 38
22564006653800 39
22564006653900 23
22564006654000 49
22564006654100 36
22564006654200 60
22564006654300 39
22564006654400 54
22564006654500 64
22564006654600 45
22564006654700 58
22564006654800 44
22564006654900 65
22564006655000 40
22564006655100 15
22564006658500 18
22564006660200 9
22565006649900 32
22565006650000 33
22565006650100 44
22565006650200 37
22565006650300 43
22565006650400 30
22565006650500 47
